Age,,Girls,,,,,,,,,,,,Boys,,,,,,,,,,,
months,years,mu,sigma,nu,cent0.4,cent2,cent9,cent25,cent50,cent75,cent91,cent98,cent99.6,mu,sigma,nu,cent0.4,cent2,cent9,cent25,cent50,cent75,cent91,cent98,cent99.6
43,3.6,97.8453983452878,0.0371392835988108,0.0448746691452158,88.6,90.83,93.11,95.45,97.85,100.3,102.81,105.38,108.01,99.4472417699199,0.0391792797257656,-0.130097333092665,89.64,91.99,94.4,96.89,99.45,102.08,104.8,107.6,110.48
44,3.7,98.437031749814,0.0372595056765715,0.0568574284875952,89.1,91.35,93.66,96.02,98.44,100.91,103.44,106.04,108.69,100.023976563746,0.0393013903216841,-0.110241516759336,90.13,92.49,94.93,97.44,100.02,102.68,105.42,108.24,111.14
45,3.8,99.0435436734057,0.0373824844351064,0.0698334441476844,89.62,91.89,94.22,96.6,99.04,101.54,104.1,106.71,109.39,100.606283732353,0.0394262208012886,-0.0891300088752665,90.61,93,95.47,98,100.61,103.29,106.05,108.89,111.82
46,3.8,99.6267595840752,0.0375002854488643,0.0828904993392408,90.11,92.41,94.76,97.16,99.63,102.15,104.72,107.36,110.06,101.159098434108,0.0395457177261869,-0.0681998966927613,91.07,93.49,95.97,98.53,101.16,103.86,106.65,109.51,112.45
47,3.9,100.226514857543,0.0376207620959121,0.096820655839515,90.62,92.94,95.31,97.74,100.23,102.77,105.37,108.03,110.75,101.721775878191,0.0396678480250152,-0.0461342479685065,91.53,93.98,96.49,99.07,101.72,104.45,107.25,110.14,113.1
48,4,100.804990337351,0.0377361419799607,0.110650082640448,91.1,93.45,95.85,98.3,100.8,103.37,105.99,108.67,111.41,102.260305349822,0.0397847331000072,-0.024431764176625,91.98,94.45,96.98,99.58,102.26,105.01,107.84,110.74,113.72
49,4.1,101.382389963417,0.037850333768594,0.124744043513623,91.59,93.96,96.38,98.85,101.38,103.97,106.61,109.32,112.08,102.795095500655,0.0399003371180669,-0.00246474631250046,92.42,94.91,97.47,100.1,102.8,105.57,108.41,111.34,114.34
50,4.2,101.978724544971,0.0379670902277244,0.139495139649396,92.09,94.48,96.93,99.43,101.98,104.59,107.25,109.98,112.76,103.345933890357,0.0400184560518066,0.020421842047253,92.87,95.39,97.97,100.62,103.35,106.14,109.01,111.95,114.97
51,4.2,102.555801555129,0.0380788855839976,0.153863272788527,92.58,94.99,97.46,99.98,102.56,105.19,107.88,110.62,113.43,103.878413819246,0.0401314770644453,0.0426630321773331,93.31,95.85,98.46,101.13,103.88,106.69,109.58,112.54,115.58
52,4.3,103.151736411668,0.0381931804331573,0.168713952705997,93.08,95.52,98.01,100.55,103.15,105.81,108.52,111.29,114.11,104.428020089712,0.0402469433534172,0.0656492043187832,93.77,96.33,98.96,101.66,104.43,107.27,110.17,113.16,116.22
53,4.4,103.727711480442,0.0383026085047804,0.1830006563823,93.57,96.03,98.54,101.11,103.73,106.4,109.14,111.93,114.77,104.959208013141,0.0403574139392252,0.0878089649860356,94.2,96.79,99.45,102.17,104.96,107.82,110.75,113.75,116.83
54,4.5,104.321750830936,0.0384144732875363,0.197583464961539,94.07,96.55,99.09,101.68,104.32,107.02,109.78,112.59,115.46,105.507302685869,0.0404702627326923,0.110527265789255,94.65,97.27,99.95,102.69,105.51,108.39,111.34,114.36,117.46
55,4.6,104.895182253192,0.038521565962914,0.211433137446181,94.55,97.06,99.62,102.23,104.9,107.62,110.39,113.23,116.12,106.036861823813,0.0405782183262306,0.132249995264846,95.09,97.73,100.43,103.2,106.04,108.94,111.91,114.95,118.06
56,4.7,105.466860795418,0.0386275225984904,0.224937428731892,95.03,97.56,100.14,102.78,105.47,108.21,111.01,113.86,116.77,106.565502056135,0.0406849508881928,0.153627343541505,95.52,98.19,100.92,103.71,106.57,109.49,112.48,115.54,118.67
57,4.8,106.055415973083,0.0387358268650731,0.238437659131222,95.52,98.08,100.68,103.34,106.06,108.82,111.64,114.52,117.45,107.110718591524,0.0407939665078568,0.175263066164816,95.97,98.66,101.41,104.23,107.11,110.06,113.07,116.15,119.3
58,4.8,106.622558713092,0.0388395006292494,0.250974431400168,96,98.58,101.21,103.89,106.62,109.41,112.25,115.15,118.1,107.63726096965,0.0408982420918236,0.195672895424711,96.4,99.12,101.9,104.73,107.64,110.6,113.64,116.74,119.9
59,4.9,107.205775651497,0.0389454654593625,0.263291164588792,96.49,99.09,101.74,104.45,107.21,110.02,112.88,115.8,118.77,108.180155339211,0.0410047403177598,0.216125120837315,96.85,99.59,102.39,105.25,108.18,111.17,114.22,117.34,120.53
60,5,107.767139053271,0.0390468947859383,0.274504816111979,96.96,99.59,102.26,104.99,107.77,110.6,113.48,116.42,119.42,108.704304554915,0.0411066011608562,0.235211829351451,97.28,100.04,102.87,105.76,108.7,111.71,114.79,117.93,121.13
66,5.5,111.115806717514,0.0396433636395531,0.324177965381198,99.78,102.54,105.35,108.21,111.12,114.08,117.09,120.16,123.29,111.880498731017,0.0417040039052646,0.332910626265459,99.89,102.81,105.77,108.8,111.88,115.02,118.22,121.47,124.79
72,6,114.33819925288,0.0402081240623521,0.334116310214732,102.51,105.39,108.32,111.3,114.34,117.43,120.58,123.78,127.04,115.087001967818,0.042267178413966,0.390874618743781,102.56,105.61,108.71,111.87,115.09,118.36,121.68,125.07,128.51
78,6.5,117.430902650443,0.0407519624056775,0.297087151995951,105.15,108.13,111.17,114.27,117.43,120.65,123.93,127.28,130.69,118.392248105645,0.0428077004329035,0.401608672936757,105.34,108.51,111.75,115.04,118.39,121.8,125.27,128.79,132.37
84,7,120.453600947161,0.0413195320526111,0.221114479703581,107.74,110.81,113.96,117.17,120.45,123.81,127.23,130.73,134.31,121.747984026878,0.0433721504545799,0.373661648289175,108.17,111.47,114.83,118.26,121.75,125.3,128.92,132.6,136.34
90,7.5,123.407567632203,0.0419502608483692,0.121760400656566,110.26,113.43,116.67,120,123.41,126.9,130.48,134.15,137.91,124.907919919366,0.0440021759051456,0.322070781653917,110.83,114.24,117.72,121.28,124.91,128.61,132.38,136.23,140.16
96,8,126.376536745899,0.0426682938667893,0.017044602910595,112.77,116.03,119.38,122.83,126.38,130.02,133.77,137.63,141.59,127.795555214601,0.0447225907612273,0.265380631552734,113.21,116.74,120.34,124.03,127.8,131.65,135.58,139.61,143.72
102,8.5,129.443231608396,0.0434699962510572,-0.071426694953975,115.33,118.7,122.17,125.75,129.44,133.25,137.18,141.24,145.42,130.505734313766,0.0455295616150729,0.224934981332952,115.39,119.03,122.77,126.59,130.51,134.51,138.62,142.82,147.11
108,9,132.684918377493,0.0443106385530316,-0.123754335780101,118,121.49,125.1,128.83,132.68,136.67,140.79,145.05,149.46,133.159310360088,0.0463762683770973,0.220370552918583,117.47,121.25,125.12,129.09,133.16,137.33,141.59,145.96,150.44
114,9.5,136.155099406705,0.0451286424657077,-0.122386606622101,120.82,124.47,128.23,132.13,136.16,140.32,144.63,149.09,153.7,135.894434732746,0.047197853822132,0.269763929721371,119.56,123.5,127.54,131.67,135.89,140.22,144.64,149.17,153.8
120,10,139.767098479308,0.045790327141255,-0.0597064261581969,123.76,127.57,131.5,135.57,139.77,144.1,148.58,153.21,157.99,138.768043000715,0.0478550367053069,0.380207322597032,121.75,125.88,130.09,134.38,138.77,143.24,147.8,152.45,157.18
126,10.5,143.498399573301,0.0461343564939755,0.0642013123400304,126.83,130.81,134.92,139.15,143.5,147.98,152.58,157.33,162.21,141.889575823467,0.0481793086713421,0.552140708740047,124.19,128.51,132.91,137.36,141.89,146.48,151.14,155.86,160.64
132,11,147.118409413173,0.0460229073374638,0.239765233208281,129.89,134.04,138.3,142.66,147.12,151.69,156.36,161.14,166.03,145.279621534537,0.0480277605109022,0.775730277253086,126.95,131.48,136.04,140.64,145.28,149.95,154.65,159.38,164.15
138,11.5,150.315232664774,0.0453780476019632,0.448099505652389,132.73,137.01,141.37,145.81,150.32,154.9,159.56,164.3,169.11,148.929095298292,0.0473203576638665,1.03182776210895,130.1,134.81,139.52,144.23,148.93,153.63,158.32,163,167.69
144,12,152.861828192818,0.0442227290062325,0.673628352528256,135.19,139.54,143.94,148.38,152.86,157.39,161.96,166.57,171.23,152.87597877443,0.0460818537336163,1.30538225662961,133.71,138.58,143.39,148.16,152.88,157.55,162.18,166.78,171.33
150,12.5,154.735992439137,0.0427139964660026,0.897415976317114,137.22,141.58,145.95,150.34,154.74,159.15,163.57,168.01,172.46,156.903769485044,0.0444771343790366,1.57719552806325,137.6,142.56,147.43,152.21,156.9,161.52,166.06,170.52,174.93
156,13,156.102133650748,0.0410459674464668,1.09890742033176,138.92,143.23,147.54,151.82,156.1,160.37,164.62,168.87,173.1,160.660969716588,0.0427091583726564,1.82645018448966,141.4,146.41,151.29,156.03,160.66,165.18,169.6,173.93,178.17
162,13.5,157.139403712389,0.0394073761015945,1.25828052751336,140.39,144.62,148.83,153,157.14,161.25,165.34,169.4,173.44,163.867236953059,0.0409741756711237,2.03384893931605,144.82,149.82,154.65,159.33,163.87,168.28,172.58,176.77,180.86
168,14,157.951657834573,0.0379625351161021,1.35989643142184,141.65,145.79,149.88,153.94,157.95,161.93,165.88,169.79,173.67,166.361140558156,0.0394430147796559,2.18349049086931,147.62,152.56,157.32,161.92,166.36,170.67,174.85,178.92,182.88
174,14.5,158.583128311977,0.036799173856292,1.40515770868211,142.69,146.73,150.72,154.67,158.58,162.45,166.29,170.09,173.85,168.242719866167,0.0382064679458959,2.27651498054133,149.83,154.7,159.38,163.89,168.24,172.46,176.55,180.52,184.39
180,15,159.080172951467,0.0359352168213665,1.39986257370969,143.53,147.48,151.38,155.25,159.08,162.87,166.63,170.36,174.05,169.658542658357,0.0372821784323151,2.31924549321371,151.53,156.32,160.93,165.37,169.66,173.81,177.83,181.74,185.54
186,15.5,159.470368008737,0.0353179707712794,1.35421291133824,144.19,148.06,151.9,155.7,159.47,163.21,166.92,170.6,174.25,170.706428830547,0.0366151383879021,2.32135904325402,152.81,157.54,162.09,166.47,170.71,174.81,178.79,182.65,186.41
192,16,159.771447976093,0.0348745446918523,1.27490439525128,144.71,148.52,152.29,156.04,159.77,163.47,167.15,170.81,174.45,171.465288825799,0.0361289776829181,2.29007617481184,153.78,158.44,162.93,167.27,171.47,175.53,179.48,183.32,187.06
198,16.5,159.987688915161,0.0345582482301876,1.15636519280199,145.13,148.87,152.59,156.3,159.99,163.67,167.33,170.99,174.63,171.978637771617,0.035775114766798,2.21956262000734,154.5,159.09,163.52,167.82,171.98,176.02,179.96,183.79,187.52
204,17,160.124789117507,0.0343307990507942,0.991990973106633,145.47,149.13,152.8,156.46,160.12,163.79,167.46,171.12,174.79,172.292564496147,0.0355138007398557,2.10295161272374,155.02,159.54,163.91,168.16,172.29,176.32,180.25,184.08,187.83
210,17.5,160.184905019164,0.0341782202338648,0.776033640109562,145.74,149.32,152.92,156.54,160.18,163.84,167.52,171.22,174.93,172.458177234657,0.0353301006880104,1.93501992737146,155.42,159.84,164.15,168.35,172.46,176.48,180.41,184.27,188.05
216,18,160.156849154206,0.0340925235067333,0.508576474357372,145.92,149.42,152.96,156.54,160.16,163.82,167.52,171.26,175.04,172.525279108244,0.0352158768015234,1.71532597403102,155.73,160.05,164.28,168.44,172.53,176.54,180.5,184.39,188.22
